batch size(TXs),total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),5% longest delay(s),5% shortest delay(s),5% least throughout(TXs/s),5% largest throughout(TXs/s)
1000,350000.0,167.420619,0.334841238,2090.5429814472254,0.9174385070800781,0.1989740530649821,627.7211141063278,2909.2600510269426
2500,175000.0,35.829985,0.35829985000000003,4884.177316847886,0.7827170689900717,0.2124024232228597,1824.48530442603,6806.582778544151
2500,175000.0,38.95644,0.38956440000000003,4492.196925591764,1.0888195435206096,0.23365803559621176,1303.727619557615,6207.257006250736
2500,175000.0,36.630123,0.36630123,4777.488735159312,0.9186300039291382,0.22977701822916666,1602.0151488649856,6311.411529823815
2500,175000.0,38.4378,0.38437800000000005,4552.809994328499,0.9765926202138265,0.2485604683558146,1469.000989536743,5845.1542647664055
2500,175000.0,35.467123,0.35467123,4934.147040908844,0.7257592678070068,0.24072670936584473,1998.4976222675966,6037.3182973750545
5000,350000.0,33.283607,0.33283607000000004,10515.687197003617,0.6563994884490967,0.22488192717234293,4400.159019122363,12919.72920160946
5000,350000.0,34.881008,0.34881008,10034.11369304465,0.7833748261133829,0.22481048107147217,3628.4917164993662,12909.547464676909
5000,350000.0,38.367816,0.38367816,9122.228901431346,1.0401804447174072,0.21998159090677896,2715.261423027829,13165.586755944452
5000,350000.0,34.565979,0.34565978999999997,10125.563057247706,0.7648139397303263,0.2263699769973755,3746.102070999627,12811.243172373092
5000,350000.0,36.097475,0.36097475,9695.969039385718,0.9610846837361654,0.2176524798075358,3020.8984838045435,13331.880340620703
7500,525000.0,39.82662,0.39826619999999996,13182.137977061573,1.0182734330495198,0.24575364589691162,4170.418854773372,17753.53900094953
7500,525000.0,40.803416,0.40803416,12866.56979895997,0.9855250914891561,0.22990079720815024,4426.696647404106,18908.342844255916
7500,525000.0,39.23691,0.3923691,13380.258537178386,0.8480414549509684,0.2382092078526815,5154.623917002567,18239.834077936666
7500,525000.0,39.239592,0.39239592,13379.344005411676,0.8742936849594116,0.24564472834269205,4986.9108559916185,17729.587621712017
7500,525000.0,36.636611,0.36636611,14329.928060212775,0.7193376620610555,0.24503990014394125,5967.312586459993,17786.476680537984
10000,700000.0,40.264088,0.40264088000000003,17385.21930510384,1.0010732412338257,0.2674639622370402,5574.397994654697,21736.050783298644
10000,700000.0,36.264576,0.36264576,19302.5833253917,0.7548811038335165,0.25057657559712726,7524.80129231137,23176.923039033358
10000,700000.0,41.580825,0.41580825,16834.68281353244,0.8425072034200033,0.2671995560328166,6883.386601025976,21762.843751493754
10000,700000.0,39.021392,0.39021392,17938.87824401549,0.8756321668624878,0.2672869761784871,6620.424645374308,21747.971673368764
10000,700000.0,38.141487,0.38141486999999996,18352.7191795118,0.8358623186747233,0.2595680157343547,6805.765695655227,22359.909163739085
10000,700000.0,39.247005,0.39247005,17835.755874875038,0.8447136878967285,0.25674641132354736,6863.7067108178335,22674.892508010864
