# RBC instances,batch size,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
4,25000,375000.0,4.69736,0.0469736,80650.21529446324,0.2634162902832031,0.1754680077234904,58565.70151747344,88212.92478045431
4,25000,375000.0,4.950547,0.04950547,77256.46828489014,0.2965175708134969,0.18271164099375406,51530.40094588627,85206.30649507107
4,25000,375000.0,4.953143,0.04953143,77067.63315233149,0.2954150040944417,0.18219939867655435,51864.94228944883,85531.0674183026
4,25000,375000.0,4.363806,0.043638060000000006,86770.7676694179,0.2443450689315796,0.17033823331197104,63076.374815187475,91631.16067068999
4,25000,375000.0,4.466468,0.04466468,85049.0272012088,0.2590995232264201,0.16822274525960287,59227.895928975784,92626.696257813
4,50000,750000.0,8.638648,0.08638648,88570.93355257661,0.5095077753067017,0.3229099114735921,61112.52665610579,96411.10100617366
4,50000,750000.0,8.745204,0.08745204,87912.19041896067,0.5316479206085205,0.3123469352722168,57937.22436818553,99356.28451649635
4,50000,750000.0,8.550436,0.08550436,89686.98655505783,0.5148909489313761,0.31481921672821045,59552.56206028483,98804.18120338909
4,50000,750000.0,8.414919,0.08414919,89735.08302529783,0.4723650614420573,0.3237350384394328,65709.32587025622,96258.67533287396
4,50000,750000.0,8.125474,0.08125474,92855.60096216903,0.4432772397994995,0.31249503294626874,69615.62388439463,99371.5951396035
4,100000,1500000.0,15.238003,0.15238003,99422.90380818736,0.8568479617436727,0.5700352589289347,72006.8157605989,108941.23455051381
4,100000,1500000.0,15.323869,0.15323869,98388.51807780929,0.8305423259735107,0.5860588550567627,74611.7407316916,105765.26346717506
4,100000,1500000.0,15.310076,0.15310076,99184.60746588095,0.8786231279373169,0.5619468291600546,69788.00652253417,110184.93320695357
4,100000,1500000.0,15.404195,0.15404194999999998,98113.3319695261,0.8538933992385864,0.5887071291605631,72057.82943113112,105735.4946509963
4,100000,1500000.0,15.5515,0.15551500000000001,96998.54031141943,0.8448886871337891,0.5891935427983602,73381.62397323143,105303.47946307476
4,250000,3750000.0,38.899057,0.38899057,96866.666383002,2.1013324658075967,1.4901325305302937,73820.96698742642,104076.00758361159
4,250000,3750000.0,38.453517,0.38453517,97813.39451816934,2.037488261858622,1.5061108271280925,76353.44017304483,103316.14727313865
4,250000,3750000.0,38.909849,0.38909849,96928.87702030563,2.1220439672470093,1.4863152503967285,73201.99781154863,104611.3615769419
4,250000,3750000.0,38.662075,0.38662075,98102.65624053919,2.169197122255961,1.4380717277526855,71547.39627081413,107653.08525923944
4,250000,3750000.0,39.506296,0.39506295999999996,95435.72676882976,2.1324754556020102,1.499921441078186,72729.09913810002,103236.23617769712
4,500000,7500000.0,79.909449,0.79909449,94469.83410946581,4.373736619949341,3.0039443572362265,70955.15762412477,103129.06615650978
4,500000,7500000.0,81.727396,0.81727396,92503.95278656026,4.542324463526408,3.0778566201527915,67955.85414131822,100999.36567308301
4,500000,7500000.0,81.110046,0.81110046,93469.87630946029,4.593664566675822,2.9763975938161216,66986.6701071693,104380.23599543306
4,500000,7500000.0,81.092489,0.81092489,93305.5617788531,4.478317658106486,2.996618151664734,69312.1327765584,103143.65375023421
4,500000,7500000.0,80.496081,0.8049608100000001,94366.13680211776,4.613531629244487,2.9235647519429526,66969.94049990199,105579.17200978131
